avg_wait,renege_rate,staffing_cost,avg_tellers,served,total_cost
4.6425,8.1,422.0,8.44,1328,445.2125
5.655,9.333333333333332,415.0,8.3,1166,443.275
1.275,4.666666666666667,423.0,8.46,1129,429.375
8.6325,15.53333333333333,251.0,5.02,1069,294.1625
5.11297619047619,10.5,413.5,8.27,1307,439.064880952381
6.815,14.933333333333335,256.5,5.13,1093,290.575
193.5225,42.0,265.5,5.31,1296,1233.1125000000002
1.26,3.4000000000000004,423.0,8.46,1124,429.3
3.6125,7.066666666666667,424.0,8.48,1100,442.0625
1.7125,3.916666666666666,422.0,8.44,1096,430.5625
7.17,6.833333333333333,264.0,5.28,1085,299.85
164.1175,40.0,256.5,5.13,1275,1077.0875
172.46,36.6,257.5,5.15,1297,1119.8000000000002
2.825,5.0,422.0,8.44,1084,436.125
3.4525,6.666666666666667,417.5,8.35,1086,434.7625
69.66428571428571,29.666666666666664,294.5,5.89,1327,642.8214285714286
2.4725,5.233333333333333,420.0,8.4,1304,432.3625
1.5225,3.0999999999999996,421.5,8.43,1088,429.1125
3.185,4.9,417.5,8.35,1288,433.425
3.35,7.600000000000001,417.5,8.35,1329,434.25
1.2,3.166666666666666,423.0,8.46,1106,429.0
1.1725,4.233333333333333,419.5,8.39,1102,425.3625
5.965,16.3,231.0,4.62,1104,260.825
2.735,4.233333333333333,427.5,8.55,1267,441.175
1.41,4.233333333333333,423.0,8.46,1256,430.05
2.4625,4.833333333333333,420.0,8.4,1106,432.3125
1.415,4.166666666666666,418.5,8.37,1288,425.575
4.405,9.666666666666666,263.0,5.26,1075,285.025
453.75,44.33333333333333,189.0,3.78,939,2457.75
2.685,4.533333333333332,414.5,8.29,1290,427.925
1.7175,4.033333333333333,421.0,8.42,1089,429.5875
440.5625,46.666666666666664,191.0,3.82,974,2393.8125
1.025,2.5,423.0,8.46,1090,428.125
286.905,40.06666666666666,229.5,4.59,1175,1664.0249999999999
4.3875,7.7,414.5,8.29,1285,436.4375
1.46,5.166666666666666,423.0,8.46,1107,430.3
5.8,6.833333333333333,263.5,5.27,1084,292.5
4.03,5.633333333333333,422.5,8.45,1090,442.65
1.4875,4.833333333333333,419.5,8.39,1078,426.9375
7.3975,18.03333333333333,228.0,4.56,1066,264.9875
941.975,46.83333333333333,189.5,3.79,956,4899.375
4.066428571428571,7.0095238095238095,415.5,8.31,1126,435.83214285714286
